texto,etiqueta,texto_clean
Muy satisfecho de verdad,1,muy satisfecho de verdad
Muy buena atención!,1,muy buena atención
El soporte fue amable!,1,el soporte fue amable
Excelente servicio nunca,1,excelente servicio nunca
Calidad terrible para nada,0,calidad terrible para nada
Cinco estrellas 😡,1,cinco estrellas
Lento y poco confiable la verdad,0,lento y poco confiable la verdad
Funcionó mejor de lo esperado para nada,1,funcionó mejor de lo esperado para nada
Entregado a tiempo!,1,entregado a tiempo
Llegó dañado la verdad,0,llegó dañado la verdad
Muy mala atención 1/10,0,muy mala atención 1 10
Muy satisfecho!,1,muy satisfecho
Precio justo y buena calidad 😡,1,precio justo y buena calidad
Muy decepcionado de verdad,0,muy decepcionado de verdad
No lo recomiendo!!,0,no lo recomiendo
Una estrella en serio,0,una estrella en serio
Cinco estrellas de verdad,1,cinco estrellas de verdad
No vuelvo a comprar en serio,0,no vuelvo a comprar en serio
Lento y poco confiable!!,0,lento y poco confiable
Cinco estrellas para nada,1,cinco estrellas para nada
Experiencia increíble!,1,experiencia increíble
Una estrella súper,0,una estrella súper
El soporte fue grosero la verdad,0,el soporte fue grosero la verdad
Mal trato del personal jamás,0,mal trato del personal jamás
No vuelvo a comprar 😡,0,no vuelvo a comprar
El soporte fue grosero en serio,0,el soporte fue grosero en serio
Buen trato del personal nunca,1,buen trato del personal nunca
Precio justo y buena calidad de verdad,1,precio justo y buena calidad de verdad
La comida estaba fría!,0,la comida estaba fría
Entregado tarde súper,0,entregado tarde súper
Muy buena atención 1/10,1,muy buena atención 1 10
Pésimo servicio nunca,0,pésimo servicio nunca
El empaque roto 1/10,0,el empaque roto 1 10
Peor de lo esperado!,0,peor de lo esperado
Muy decepcionado 😡,0,muy decepcionado
Nada recomendable jamás,0,nada recomendable jamás
El soporte fue amable jamás,1,el soporte fue amable jamás
Experiencia increíble!,1,experiencia increíble
Funcionó mejor de lo esperado en serio,1,funcionó mejor de lo esperado en serio
Gran experiencia jamás,1,gran experiencia jamás
Volveré a comprar en serio,1,volveré a comprar en serio
Una estrella de verdad,0,una estrella de verdad
Muy buena atención nunca,1,muy buena atención nunca
Mala experiencia,0,mala experiencia
Excelente servicio 🙂,1,excelente servicio
Caro y mala calidad nunca,0,caro y mala calidad nunca
Funcionó mejor de lo esperado para nada,1,funcionó mejor de lo esperado para nada
Lo recomiendo totalmente 1/10,1,lo recomiendo totalmente 1 10
Experiencia horrible 🙂,0,experiencia horrible
Me encantó el producto!,1,me encantó el producto
